Address	Length	Original bytes	Patched bytes
00401319	0x1	93 	98 
00401407	0x1	A5 	AA 
00401444	0x1	68 	6D 
004014FC	0x1	B0 	B5 
00401526	0x1	86 	8B 
00401620	0x1	8C 	91 
0040163D	0x1	6F 	74 
00401660	0x1	4C 	51 
00401CB5	0x1	90 	C3 
00401CBA	0x1	90 	C3 
00402A99	0x1	13 	18 
00402CB1	0x2	FB EF 	00 F0 
00402D30	0x1	7C 	81 
00403B8E	0x1	1E 	23 
00403CA0	0x1	0C 	11 
00403E10	0x1	9C 	A1 
00403E2F	0x1	7D 	82 
00403EBB	0x1	F1 	F6 
00403F00	0x1	AC 	B1 
00403F91	0x1	1B 	20 
00403FEA	0x1	C2 	C7 
00405636	0x1	76 	7B 
0040570A	0x1	A2 	A7 
00405722	0x1	8A 	8F 
00405A7E	0x1	2E 	33 
00406A9D	0x1	0F 	14 
004072D6	0x1	D6 	DB 
004073A8	0x1	04 	09 
004073B5	0x1	F7 	FC 
004074B2	0x1	FA 	FF 
0040792C	0x1	80 	85 
00407A60	0x1	4C 	51 
00407AB0	0x2	FC A1 	01 A2 
00407B5E	0x1	4E 	53 
00407C6D	0x1	3F 	44 
00407C8C	0x1	20 	25 
00407F03	0x1	A9 	AE 
00407F47	0x1	65 	6A 
00407F60	0x1	4C 	51 
00407F84	0x1	28 	2D 
00408035	0x1	77 	7C 
0040809A	0x1	12 	17 
0040828F	0x1	1D 	22 
00408A06	0x1	A6 	AB 
00409616	0x1	96 	9B 
004098BC	0x1	F0 	F5 
00409AA1	0x1	0B 	10 
00409BF2	0x1	BA 	BF 
00409BFF	0x1	AD 	B2 
00409C0C	0x1	A0 	A5 
00409C47	0x1	65 	6A 
00409D98	0x1	14 	19 
00409DA5	0x1	07 	0C 
0040C7A0	0x1	0C 	11 
0040C7C9	0x1	E3 	E8 
0040C7F2	0x1	BA 	BF 
0040E102	0x1	AA 	AF 
0040E15F	0x1	4D 	52 
0040E1EE	0x1	BE 	C3 
0040E20B	0x1	A1 	A6 
0040E262	0x1	4A 	4F 
0040E28F	0x1	1D 	22 
0040E2E6	0x1	C6 	CB 
0040E303	0x1	A9 	AE 
0040E32C	0x1	80 	85 
004161D0	0x1	DC 	E1 
004161FE	0x1	AE 	B3 
0041736C	0x1	40 	45 
004173FE	0x1	AE 	B3 
0041746A	0x1	42 	47 
0041747B	0x1	31 	36 
00418778	0x1	34 	39 
00418859	0x1	53 	58 
004188D9	0x1	D3 	D8 
0041CB6D	0x1	3F 	44 
0041CC60	0x1	4C 	51 
0041CE49	0x1	63 	68 
0041D3F2	0x1	BA 	BF 
0041D60E	0x1	9E 	A3 
0041FFD5	0x1	D7 	DC 
0042029C	0x1	10 	15 
00420A80	0x1	2C 	31 
00421572	0x1	3A 	3F 
004277C4	0x1	E8 	ED 
00428E42	0x1	6A 	6F 
00428EEF	0x1	BD 	C2 
00428F70	0x1	3C 	41 
0042908B	0x1	21 	26 
004292A4	0x1	08 	12 
004294A9	0x1	03 	0D 
004294FE	0x1	AE 	B8 
00429BB7	0x1	F5 	FF 
0042AA5E	0x1	4E 	58 
0042B5F2	0x1	BA 	C4 
0042B7CF	0x1	DD 	E7 
0042BACA	0x1	E2 	EC 
0042BFB4	0x2	F8 5C 	02 5D 
0042C05A	0x1	52 	5C 
0042CB0F	0x1	9D 	A7 
0042CB66	0x1	46 	50 
0042CB7C	0x1	30 	3A 
0042D146	0x1	66 	70 
0042D1F5	0x1	B7 	C1 
0042D210	0x1	9C 	A6 
0042D2BD	0x1	EF 	F9 
0042D2F1	0x1	BB 	C5 
0042D32F	0x1	7D 	87 
0042D379	0x1	33 	3D 
0042D3B9	0x1	F3 	FD 
0042D449	0x1	63 	6D 
0042D4B9	0x1	F3 	FD 
0042D4F1	0x1	BB 	C5 
0042D597	0x1	15 	1F 
0042D6C6	0x1	E6 	F0 
0042D781	0x1	2B 	35 
0042D7B0	0x2	FC 44 	06 45 
0042D946	0x1	66 	70 
0042D9D7	0x1	D5 	DF 
0042DA1A	0x1	92 	9C 
0042DBB0	0x2	FC 40 	06 41 
0042DC8D	0x1	1F 	29 
0042DCC5	0x1	E7 	F1 
0042DD85	0x1	27 	31 
0042DE61	0x1	4B 	55 
0042DEC0	0x1	EC 	F6 
0042DF17	0x1	95 	9F 
0042E035	0x1	77 	81 
0042E093	0x1	19 	23 
0042E0BC	0x1	F0 	FA 
0042E0FB	0x1	B1 	BB 
0042E2BE	0x1	EE 	F8 
0042E465	0x1	47 	51 
0042E478	0x1	34 	3E 
0042E494	0x1	18 	22 
0042E524	0x1	88 	92 
0042E552	0x1	5A 	64 
0042E56C	0x1	40 	4A 
0042E63D	0x1	6F 	79 
0042E69F	0x1	0D 	17 
0042E73E	0x1	6E 	78 
0042E7CF	0x1	DD 	E7 
0042E94B	0x1	61 	6B 
0042E963	0x1	49 	53 
0042EDD8	0x1	D4 	DE 
0042EE25	0x1	87 	91 
0042EE7C	0x1	30 	3A 
0042EEEF	0x1	BD 	C7 
0042EF85	0x1	27 	31 
0042F152	0x1	5A 	64 
0042F173	0x1	39 	43 
0042F191	0x1	1B 	25 
0042F1AA	0x1	02 	0C 
0042F1C8	0x1	E4 	EE 
0042F1E6	0x1	C6 	D0 
0042F246	0x1	66 	70 
0042F277	0x1	35 	3F 
0042F2C6	0x1	E6 	F0 
0042F2EA	0x1	C2 	CC 
0042F322	0x1	8A 	94 
0042F380	0x1	2C 	36 
0042F397	0x1	15 	1F 
0042F422	0x1	8A 	94 
0042F452	0x1	5A 	64 
0042F489	0x1	23 	2D 
0042F4F5	0x1	B7 	C1 
0042F53A	0x1	72 	7C 
0042F5FE	0x1	AE 	B8 
0042F662	0x1	4A 	54 
0042F796	0x1	16 	20 
0042F7EE	0x1	BE 	C8 
0042F852	0x1	5A 	64 
0042F99A	0x1	12 	1C 
0042F9EF	0x1	BD 	C7 
0042FA4B	0x1	61 	6B 
0042FA79	0x1	33 	3D 
0042FC0F	0x1	9D 	A7 
0042FD77	0x1	35 	3F 
0042FDC1	0x1	EB 	F5 
0042FE31	0x1	7B 	85 
0042FEE0	0x1	CC 	D6 
0042FF10	0x1	9C 	A6 
00430016	0x1	96 	9B 
004301C1	0x1	EB 	F0 
00430217	0x1	95 	9A 
00430315	0x1	97 	A1 
00430493	0x1	19 	1E 
0043089D	0x1	0F 	19 
004308E2	0x1	CA 	D4 
00430904	0x1	A8 	B2 
004309DF	0x1	CD 	D7 
004309FF	0x1	AD 	B7 
00430B88	0x1	24 	2E 
00430BBD	0x1	EF 	F9 
00431826	0x1	86 	90 
0043185E	0x1	4E 	58 
00431BCB	0x1	E1 	EB 
00431BFA	0x1	B2 	BC 
00431C1A	0x1	92 	9C 
00431C45	0x1	67 	71 
0043205E	0x1	4E 	58 
00432091	0x1	1B 	25 
004320D2	0x1	DA 	E4 
00432119	0x1	93 	9D 
0043217F	0x1	2D 	37 
004321BF	0x1	ED 	F7 
00432206	0x1	A6 	B0 
00432275	0x1	37 	41 
004322A4	0x1	08 	12 
004322EF	0x1	BD 	C7 
00432335	0x1	77 	81 
0043237C	0x1	30 	3A 
004323CD	0x1	DF 	E9 
00432413	0x1	99 	A3 
0043245A	0x1	52 	5C 
004324A1	0x1	0B 	15 
004324C9	0x1	E3 	ED 
00432563	0x1	49 	53 
004325BB	0x1	F1 	FB 
00432625	0x1	87 	91 
00432685	0x1	27 	31 
0043271A	0x1	92 	9C 
00432779	0x1	33 	3D 
004327D3	0x1	D9 	E3 
00432AA1	0x1	0B 	15 
00432B01	0x1	AB 	B5 
00432F43	0x1	69 	73 
00433174	0x1	38 	42 
0043336A	0x1	42 	4C 
0043337B	0x1	31 	36 
004337F9	0x1	B3 	BD 
00433B46	0x1	66 	70 
00434344	0x1	68 	72 
00434910	0x1	9C 	A6 
00434928	0x1	84 	8E 
004349E4	0x1	C8 	D2 
00434A1F	0x1	8D 	97 
00434A3C	0x1	70 	7A 
00434A72	0x1	3A 	44 
00434A88	0x1	24 	2E 
00434A9B	0x1	11 	1B 
004367D8	0x1	D4 	DE 
00436BB8	0x1	F4 	FE 
004377A2	0x1	0A 	14 
0043789E	0x1	0E 	18 
00437916	0x1	96 	A0 
00437A5E	0x1	4E 	58 
00439549	0x1	63 	6D 
00439A6B	0x1	41 	4B 
00439A86	0x1	26 	30 
00439AAB	0x1	01 	0B 
00439AC6	0x1	E6 	F0 
00439F2C	0x1	80 	8A 
0043A0A0	0x1	0C 	16 
0043A44E	0x1	5E 	68 
0043A47D	0x1	2F 	39 
0043A517	0x1	95 	9F 
0043A52C	0x1	80 	8A 
0043A551	0x1	5B 	65 
0043A7FA	0x1	B2 	BC 
0043BFDF	0x1	CD 	D7 
0043D2FE	0x1	AE 	B8 
0043DACE	0x1	DE 	E8 
0043E57C	0x1	30 	3A 
0043EA51	0x1	5B 	65 
0043ED6F	0x1	3D 	47 
0043EDA3	0x1	09 	13 
0043EDD7	0x1	D5 	DF 
0043EE29	0x1	83 	8D 
0043EE5D	0x1	4F 	59 
0043EE91	0x1	1B 	25 
0043EED9	0x1	D3 	DD 
0043EF49	0x1	63 	6D 
0043EF7D	0x1	2F 	39 
0043F19E	0x1	0E 	18 
0043F618	0x1	94 	9E 
00440292	0x1	1A 	24 
0044034D	0x1	5F 	69 
0044060A	0x1	A2 	AC 
00440B00	0x1	AC 	B6 
00440FF8	0x1	B4 	BE 
004444A0	0x1	0C 	16 
00444529	0x1	83 	8D 
004445C8	0x1	E4 	EE 
004445E3	0x1	C9 	D3 
004445FC	0x1	B0 	BA 
00444FCB	0x1	E1 	EB 
0044584F	0x1	5D 	67 
004458E1	0x1	CB 	D5 
004491FE	0x1	AE 	B3 
0044927D	0x1	2F 	39 
004492E4	0x1	C8 	D2 
004492FE	0x1	AE 	B8 
00449319	0x1	93 	9D 
00449486	0x1	26 	30 
00449564	0x1	48 	52 
004498F6	0x1	B6 	C0 
0044AD6D	0x1	3F 	44 
0044AD87	0x1	25 	2A 
0044ADAD	0x2	FF 6E 	04 6F 
0044ADC7	0x1	E5 	EA 
0044B1FC	0x1	B0 	BA 
0044B23D	0x1	6F 	79 
0044B2A7	0x1	05 	0F 
0044B3B8	0x1	F4 	FE 
0044B4A0	0x1	0C 	16 
0044B593	0x1	19 	23 
0044C976	0x1	36 	3B 
0044CA5E	0x1	4E 	53 
0044CAA7	0x1	05 	0A 
0044CBC7	0x1	E5 	EA 
0044D284	0x1	28 	32 
0044D2F7	0x1	B5 	BF 
0044D49A	0x1	12 	1C 
0044D6A6	0x1	06 	10 
0044D6D4	0x1	D8 	E2 
0044D6F4	0x1	B8 	C2 
0044D818	0x1	94 	9E 
0044DB3B	0x1	71 	7B 
0044DB7E	0x1	2E 	38 
0044DC38	0x1	74 	7E 
0044DD7F	0x1	2D 	37 
0044DE70	0x1	3C 	46 
0044DEAB	0x1	01 	0B 
0044DF91	0x1	1B 	25 
0044E0CC	0x1	E0 	EA 
0044E14D	0x1	5F 	69 
0044E198	0x1	14 	1E 
0044E27E	0x1	2E 	38 
0044E4CD	0x1	DF 	E9 
0044E557	0x1	55 	5F 
0044E6EE	0x1	BE 	C8 
0044EB41	0x1	6B 	75 
0044EBB7	0x1	F5 	FF 
0044EBED	0x1	BF 	C9 
0044EC43	0x1	69 	73 
0044EC89	0x1	23 	2D 
0044ECD4	0x1	D8 	E2 
0044ED30	0x1	7C 	86 
0044EDA0	0x1	0C 	16 
0044EDF3	0x1	B9 	C3 
0044EE50	0x1	5C 	66 
0044EEA3	0x1	09 	13 
0044EEE3	0x1	C9 	D3 
0044F6EC	0x1	C0 	C5 
0044F746	0x1	66 	6B 
0044F897	0x1	15 	1A 
0044F8E7	0x1	C5 	CA 
0044FA38	0x1	74 	79 
0044FAE8	0x1	C4 	CE 
0044FB83	0x1	29 	33 
0044FE99	0x1	13 	1D 
0044FEF1	0x1	BB 	C5 
00450257	0x1	55 	5F 
0045027B	0x1	31 	3B 
00450407	0x1	A5 	AF 
0045042B	0x1	81 	8B 
00450624	0x1	88 	92 
00450692	0x1	1A 	24 
004506EB	0x1	C1 	CB 
0045070B	0x1	A1 	AB 
00450D65	0x1	47 	51 
00450F14	0x1	98 	A2 
00451485	0x1	27 	31 
004515C9	0x1	E3 	ED 
00451E8C	0x1	20 	2A 
00451EC9	0x1	E3 	ED 
004520AA	0x1	02 	0C 
00452136	0x1	76 	80 
0045218E	0x1	1E 	28 
004521AD	0x2	FF FA 	09 FB 
00452322	0x1	8A 	94 
00452345	0x1	67 	71 
00452591	0x1	1B 	25 
00452983	0x1	29 	33 
004529C8	0x1	E4 	EE 
00452A9C	0x1	10 	1A 
0045355C	0x1	50 	5A 
0045396A	0x1	42 	4C 
00453E60	0x1	4C 	56 
00453EB6	0x2	F6 DD 	00 DE 
00453FC6	0x1	E6 	F0 
00454108	0x1	A4 	AE 
00454136	0x1	76 	80 
0045419C	0x1	10 	1A 
004541FA	0x1	B2 	BC 
00454218	0x1	94 	9E 
004545FA	0x1	B2 	BC 
004546BB	0x1	F1 	FB 
00454A10	0x1	9C 	A6 
00454A4A	0x1	62 	6C 
00454B26	0x1	86 	8B 
004551E5	0x1	C7 	D1 
004554B1	0x2	FB C7 	05 C8 
0045580E	0x1	9E 	A8 
00455A01	0x1	AB 	B5 
00455B88	0x1	24 	2E 
004564AF	0x2	FD B7 	07 B8 
00457DF2	0x1	BA 	C4 
00458291	0x1	1B 	25 
0045839A	0x1	12 	1C 
00458C01	0x1	AB 	B5 
00458C2F	0x1	7D 	87 
00458C79	0x1	33 	3D 
00458CBB	0x1	F1 	FB 
00458D30	0x1	7C 	86 
00458DEB	0x1	C1 	CB 
